high_g_x,high_g_y,high_g_z,high_g_y,time,high_g_y,high_g_y,accel,high_g_y,alt,high_g_y,velo,high_g_y,high_g_y,bmx_x_accel,bmx_y_accel,bmx_z_accel,cpu_temp,real_temp,baro_height,gps_height,gps_satCount,gps_lat,gps_lon,gps_ascent,gps_groundSpeed,telemetrum_board.arm_status,telemetrum_board.current,telemetrum_board.voltage,stratologger_board.arm_status,stratologger_board.current,stratologger_board.voltage,camera_board.arm_status,camera_board.current,camera_board.voltage,v3_rail_voltage,v5_rail_voltage,mainBatteryVoltage,mainBatteryTemperature
-0.274586201,-0.50994581,0.941438377,-0.50994581,161.4258881,-0.50994581,-0.50994581,-0.50994581,-0.50994581,19038.3418,-0.50994581,425.5419006,-0.50994581,-0.50994581,-0.017346147,-11.22594738,5.261265755,54.0719986,41.55833435,19038.3418,20748.06055,11,32.94252777,-106.905304,425.5419006,14.88000011,1,37.56304932,4.134416103,1,0,8.189573288,1,352.6020508,4.986661434,3.321364403,5.037425995,14.5173111,36.40771484
0.117679797,-0.549172401,0.235359594,-0.549172401,161.6618958,-0.549172401,-0.549172401,-0.549172401,-0.549172401,19014.90234,-0.549172401,425.5419006,-0.549172401,-0.549172401,-0.718967915,-6.386970997,1.07785368,54.0719986,41.56985092,19014.90234,20748.06055,11,32.94252777,-106.905304,425.5419006,14.88000011,1,37.56304932,4.134416103,1,0,8.189573288,1,352.6020508,4.986661434,3.320783138,5.039330482,14.52343082,36.37869263
-0.353039414,-0.431492597,0.470719188,-0.431492597,161.8541412,-0.431492597,-0.431492597,-0.431492597,-0.431492597,18983.96289,-0.431492597,425.5419006,-0.431492597,-0.431492597,1.634724855,-9.876537323,2.179034948,54.0719986,41.55297089,18983.96289,20748.06055,11,32.94252777,-106.905304,425.5419006,14.88000011,1,37.56304932,4.134416103,1,0,8.187480927,1,352.6020508,4.986661434,3.320783138,5.039330482,14.52343082,36.37869263
0.117679797,-0.549172401,0.549172401,-0.549172401,162.0414886,-0.549172401,-0.549172401,-0.549172401,-0.549172401,18968.58398,-0.549172401,425.5419006,-0.549172401,-0.549172401,3.100175142,-9.0540905,-0.2141352,54.0719986,41.56258774,18968.58398,20748.06055,11,32.94252777,-106.905304,425.5419006,14.88000011,1,37.56304932,4.134416103,1,0.050683502,8.188277245,1,352.6020508,4.986661434,3.320783138,5.039330482,14.52343082,36.37869263
-0.392266005,-0.666852176,0.313812792,-0.666852176,162.2056732,-0.666852176,-0.666852176,-0.666852176,-0.666852176,18966.60938,-0.666852176,425.5419006,-0.666852176,-0.666852176,-2.46434927,-8.083304405,-0.805698633,54.0719986,41.56501007,18966.60938,20472.7832,11,32.94258499,-106.905159,425.5419006,14.44200039,1,37.56304932,4.134416103,1,0.050683502,8.188277245,1,352.6020508,4.986661434,3.320783138,5.039330482,14.52343082,36.37869263
-0.078453198,-0.549172401,0.117679797,-0.549172401,162.3978119,-0.549172401,-0.549172401,-0.549172401,-0.549172401,18949.46094,-0.549172401,425.5419006,-0.549172401,-0.549172401,-2.56065011,-11.09016895,0.93908453,54.0719986,41.57534409,18949.46094,20472.7832,10,32.94258499,-106.905159,425.5419006,14.44200039,1,37.56304932,4.134416103,1,0.025341751,8.187613487,1,352.6020508,4.986661434,3.320783138,5.039330482,14.52343082,36.37869263
-0.274586201,-0.588398993,0.156906396,-0.588398993,162.6302948,-0.588398993,-0.588398993,-0.588398993,-0.588398993,18916.07031,-0.588398993,425.5419006,-0.588398993,-0.588398993,-0.629246414,-8.988294601,-5.068663597,54.0719986,41.55270767,18916.07031,20472.7832,10,32.94258499,-106.905159,425.5419006,14.44200039,1,37.56304932,4.134416103,1,0.025341751,8.187613487,1,352.6020508,4.986661434,3.320730209,5.036253929,14.54056454,36.08017731
-0.431492597,-0.431492597,0.078453198,-0.431492597,162.8666077,-0.431492597,-0.431492597,-0.431492597,-0.431492597,18904.16016,-0.431492597,425.5419006,-0.431492597,-0.431492597,-4.097877502,-7.283587456,-3.410013199,54.0719986,41.55591583,18904.16016,20472.7832,10,32.94258499,-106.905159,425.5419006,14.44200039,1,37.56304932,4.134416103,1,0.025341751,8.187613487,1,352.6020508,4.986661434,3.323161602,5.035228252,14.53811646,36.12514496
-0.745305419,-0.274586201,0.078453198,-0.274586201,163.0273285,-0.274586201,-0.274586201,-0.274586201,-0.274586201,18896.43359,-0.274586201,425.5419006,-0.274586201,-0.274586201,-9.22336483,-5.502317429,1.559956908,54.0719986,41.55068207,18896.43359,20472.7832,10,32.94258499,-106.905159,425.5419006,14.44200039,1,37.56304932,4.134416103,1,0.025341751,8.187613487,1,352.6020508,4.986661434,3.323161602,5.035228252,14.53811646,36.12514496
-0.274586201,-0.353039414,-0.117679797,-0.353039414,163.2332001,-0.353039414,-0.353039414,-0.353039414,-0.353039414,18876.53125,-0.353039414,425.5419006,-0.353039414,-0.353039414,-1.73222208,-8.271121025,-2.664726973,54.0719986,41.570961,18876.53125,20472.7832,10,32.94258499,-106.905159,425.5419006,14.44200039,1,37.56304932,4.134416103,1,0.076079711,8.210354805,1,352.6020508,4.986661434,3.323161602,5.035228252,14.53811646,36.12514496
