# Time (s), Z (m), Vz (m/s)
57.578516,4539.567855,-200.281907
57.677417,4519.740632,-200.667690
57.776319,4499.875402,-201.050497
57.875220,4479.972459,-201.430314
57.999777,4454.853288,-201.904329
58.124334,4429.675382,-202.373371
58.225246,4409.234616,-202.749609
58.242116,4405.813684,-202.812174
58.258986,4402.391697,-202.874643
58.275856,4398.968658,-202.937016
58.292726,4395.544567,-202.999293
58.309596,4392.119426,-203.061473
58.343336,4385.266002,-203.185543
58.377076,4378.408398,-203.309227
58.410817,4371.546627,-203.432524
58.444557,4364.680703,-203.555435
58.523507,4348.598543,-203.841540
58.602458,4332.493878,-204.125555
58.681409,4316.366871,-204.407504
58.760360,4300.217684,-204.687414
58.850376,4281.778277,-205.004093
58.940392,4263.310480,-205.318168
59.030408,4244.814530,-205.629645
59.120424,4226.290659,-205.938511
59.210439,4207.739103,-206.244746
59.300455,4189.160101,-206.548331
59.390471,4170.553891,-206.849247
59.480487,4151.920715,-207.147492
59.570503,4133.260811,-207.443072
59.660519,4114.574419,-207.736006
59.764370,4092.983560,-208.070703
59.868220,4071.358123,-208.401943
59.972070,4049.698465,-208.729750
60.075921,4028.004941,-209.054133
60.179771,4006.277910,-209.375087
60.283621,3984.517725,-209.692598
60.387471,3962.724747,-210.006651
60.491322,3940.899334,-210.317244
60.595172,3919.041844,-210.624384
60.699022,3897.152637,-210.928090
60.802873,3875.232066,-211.228391
60.906723,3853.280484,-211.525311
61.010573,3831.298242,-211.818869
61.114424,3809.285689,-212.109072
61.133498,3805.239350,-212.162009
61.152572,3801.192002,-212.214821
61.171647,3797.143649,-212.267497
61.209795,3789.043939,-212.372432
61.247944,3780.940237,-212.476820
61.286092,3772.832563,-212.580670
61.372511,3754.451546,-212.814024
61.425749,3743.117871,-212.956541
61.478988,3731.776632,-213.098191
61.532226,3720.427874,-213.239033
61.585465,3709.071639,-213.379111
61.638703,3697.707967,-213.518455
61.691941,3686.336895,-213.657074
61.745180,3674.958463,-213.794961
61.825107,3657.862230,-214.000532
61.882303,3645.618082,-214.146529
61.939499,3633.365611,-214.291538
61.996695,3621.104876,-214.435507
62.053891,3608.835937,-214.578396
62.127276,3593.082335,-214.760106
62.200662,3577.315464,-214.939984
62.259773,3564.605714,-215.083574
62.318885,3551.887511,-215.226047
62.377997,3539.160917,-215.367451
62.437109,3526.425996,-215.507829
62.496221,3513.682806,-215.647217
62.586405,3494.225193,-215.858022
62.676590,3474.748670,-216.066602
62.766775,3455.253438,-216.272906
62.856960,3435.739706,-216.476838
62.947144,3416.207693,-216.678303
63.037329,3396.657624,-216.877251
63.127514,3377.089727,-217.073683
63.217699,3357.504227,-217.267647
63.307883,3337.901343,-217.459214
63.398068,3318.281289,-217.648451
63.488253,3298.644271,-217.835406
63.578438,3278.990495,-218.020093
63.679645,3256.914972,-218.224634
63.780852,3234.818895,-218.426255
63.882059,3212.702562,-218.624911
63.983266,3190.566275,-218.820585
64.084472,3168.410340,-219.013139
64.185679,3146.235080,-219.202490
64.200761,3142.929051,-219.230437
64.215842,3139.622600,-219.258319
64.230923,3136.315730,-219.286138
64.246004,3133.008440,-219.313893
64.261085,3129.700732,-219.341587
64.291247,3123.084066,-219.396794
64.321409,3116.465738,-219.451764
64.351572,3109.845756,-219.506505
64.381734,3103.224126,-219.561022
64.444901,3089.351605,-219.674477
64.508067,3075.471947,-219.786977
64.571234,3061.585214,-219.898513
64.634401,3047.691467,-220.009054
64.697567,3033.790771,-220.118557
64.760734,3019.883191,-220.226975
64.823900,3005.968799,-220.334266
64.909708,2987.056222,-220.478162
64.995516,2968.131389,-220.619914
65.061202,2953.636286,-220.727004
65.126887,2939.134188,-220.832908
65.192573,2924.625171,-220.937673
65.258259,2910.109309,-221.041341
65.323945,2895.586672,-221.143939
65.402700,2878.165567,-221.265553
65.481456,2860.734944,-221.385631
65.560211,2843.294925,-221.504138
65.638967,2825.845637,-221.621031
65.717722,2808.387207,-221.736274
65.821496,2785.368915,-221.885582
65.907058,2766.378762,-222.006523
65.992620,2747.378343,-222.125552
66.078182,2728.367821,-222.242726
66.163744,2709.347350,-222.358091
66.249306,2690.317086,-222.471671
66.334868,2671.277179,-222.583466
66.420430,2652.227784,-222.693457
66.505992,2633.169056,-222.801619
66.608617,2610.297462,-222.928915
66.623417,2606.998140,-222.947058
66.638216,2603.698549,-222.965158
66.653015,2600.398692,-222.983220
66.667814,2597.098567,-223.001246
66.697413,2590.497519,-223.037187
66.727011,2583.895409,-223.072976
66.756610,2577.292242,-223.108598
66.786209,2570.688023,-223.144040
66.815807,2564.082758,-223.179288
66.871846,2551.574109,-223.245446
66.927886,2539.061774,-223.310774
66.983925,2526.545804,-223.375190
67.039964,2514.026251,-223.438637
67.096003,2501.503170,-223.501086
67.157759,2487.698644,-223.568759
67.219514,2473.889974,-223.635282
67.281270,2460.077229,-223.700736
67.343025,2446.260473,-223.765216
67.404781,2432.439763,-223.828806
67.494480,2412.358419,-223.919705
67.559590,2397.776808,-223.984642
67.624701,2383.190998,-224.048677
67.689811,2368.601048,-224.111750
67.754922,2354.007025,-224.173789
67.820032,2339.408997,-224.234730
67.898642,2321.779111,-224.306787
67.977251,2304.143627,-224.377164
68.055861,2286.502675,-224.445900
68.134471,2268.856382,-224.513076
68.213081,2251.204867,-224.578787
68.291691,2233.548242,-224.643108
68.370300,2215.886614,-224.706078
68.448910,2198.220090,-224.767689
68.525908,2180.911081,-224.826680
68.589424,2166.629643,-224.874296
68.652939,2152.345211,-224.920942
68.716454,2138.057847,-224.966605
68.779969,2123.767615,-225.011282
68.866217,2104.358352,-225.070392
68.952465,2084.944066,-225.127751
69.023516,2068.946920,-225.173727
69.094566,2052.946549,-225.218568
69.107655,2049.998596,-225.226685
69.120744,2047.050538,-225.234761
69.142171,2042.224045,-225.247877
69.163599,2037.397273,-225.260887
69.198141,2029.615839,-225.281725
69.232684,2021.833690,-225.302298
69.267226,2014.050836,-225.322610
69.321218,2001.884462,-225.353851
69.375210,1989.716414,-225.384498
69.429201,1977.546728,-225.414574
69.483193,1965.375433,-225.444098
69.537184,1953.202560,-225.473077
69.591176,1941.028136,-225.501511
69.645168,1928.852193,-225.529393
69.709545,1914.332117,-225.561898
69.762120,1902.472610,-225.587830
69.814694,1890.611755,-225.613197
69.867269,1878.749581,-225.637986
69.919844,1866.886119,-225.662193
69.978081,1853.743304,-225.688327
70.036319,1840.598987,-225.713753
70.094557,1827.453211,-225.738488
70.152794,1814.306013,-225.762550
70.211032,1801.157433,-225.785960
70.310800,1778.629399,-225.824585
70.384649,1761.951293,-225.851994
70.458499,1745.271201,-225.878399
70.532349,1728.589196,-225.903783
70.606199,1711.905355,-225.928129
70.680048,1695.219754,-225.951424
70.770215,1674.845155,-225.978439
70.842971,1658.403275,-225.999103
70.915726,1641.959928,-226.018775
70.988481,1625.515185,-226.037473
71.061236,1609.069117,-226.055214
71.133992,1592.621793,-226.072009
71.216174,1574.041840,-226.089847
71.298357,1555.460471,-226.106480
71.380540,1536.877785,-226.121905
71.462723,1518.293884,-226.136050
71.544905,1499.708875,-226.148833
71.639180,1478.388041,-226.161786
71.669786,1471.466078,-226.165601
