6,1131.419994,596.9048,26.35037195,11914.76405
6.05,1140.921975,600.381,26.39179414,12016.76011
6.1,1149.48156,598,26.36784111,11963.25193
6.15,1159.000305,601.4762,26.40916442,12065.3299
6.2,1166.622066,593.1429,26.31826353,11853.91046
6.25,1176.156964,593.7143,26.32748233,11879.29769
6.3,1184.746114,591.2857,26.30242345,11824.70699
6.35,1194.298385,591.8571,26.31168183,11850.099
6.4,1202.903383,589.4286,26.28645722,11795.56218
6.45,1212.473027,592.9048,26.32882898,11897.3909
6.5,1221.093569,587.5238,26.2698128,11765.22018
6.55,1231.639134,594,26.34677556,11947.03393
6.6,1240.276135,591.5714,26.32171651,11892.44927
6.65,1250.842121,598.0476,26.39784364,12074.63108
6.7,1260.457482,598.619,26.40702278,12100.16523
6.75,1271.044499,602.1905,26.44975819,12206.06437
6.8,1280.679061,602.7619,26.45888066,12231.66079
6.85,1291.288022,609.2857,26.53325939,12416.06804
6.9,1300.942091,609.8571,26.54228085,12441.75358
6.95,1312.539165,619.4286,26.6477225,12708.96683
7,1322.213654,623,26.68795653,12814.78607
7.05,1333.834806,632.619,26.7901835,13084.7203
7.1,1342.55989,630.1905,26.76812638,13029.2534
7.15,1353.23377,636.7619,26.83775231,13217.09662
7.2,1361.976227,634.3333,26.81598637,13161.54124
7.25,1371.698263,640.9048,26.88459518,13348.66638
7.3,1378.509601,632.381,26.80122076,13127.34031
7.35,1385.325206,626.8095,26.74628506,12985.63915
7.4,1392.145383,618.2857,26.65934292,12765.48801
7.45,1397.995428,609.6667,26.56882362,12542.48342
7.5,1402.872905,595,26.40777245,12159.2847
7.55,1407.752514,583.2857,26.27418523,11856.00336
7.6,1412.634563,565.5714,26.06204161,11397.70788
7.65,1417.519049,553.8571,25.91560456,11098.51559
7.7,1421.428223,533.0952,25.64081605,10567.46643
7.75,1426.316977,518.3333,25.43437037,10195.6836
7.8,1431.208168,500.5238,25.17104131,9750.225994
7.85,1437.081073,488.7619,24.98880648,9461.445693
7.9,1441.977446,470.9048,24.69632886,9022.964943
7.95,1447.856446,459.1429,24.49391827,8739.848518
8,1453.738799,441.2857,24.16875074,8311.487173
8.05,1459.624505,429.4286,23.9410673,8032.398575
8.1,1465.513563,411.4762,23.57547903,7611.969366
8.15,1472.388906,405.6667,23.4527204,7482.497215
8.2,1478.285888,390.7619,23.12193989,7141.485978
8.25,1485.169461,384.9524,22.98854149,7014.657563
8.3,1491.074063,373,22.70222178,6747.676791
8.35,1497.967083,373.2381,22.70946405,6760.184644
8.4,1504.864066,373.5238,22.71787431,6773.779975
8.45,1511.766535,373.7619,22.72510993,6786.302011
8.5,1517.686986,373.9524,22.73097599,6796.732172
8.55,1524.597684,380.2857,22.88596816,6948.312484
8.6,1530.52545,383.5714,22.96534636,7029.757286
8.65,1538.434319,393.0476,23.18679788,7256.609946
8.7,1544.370009,396.3333,23.26237055,7339.060855
8.75,1551.299604,405.7619,23.47190727,7566.565655
8.8,1557.243523,409.0476,23.54393852,7649.972257
8.85,1564.181652,415.4286,23.68032451,7807.848159
8.9,1570.133191,415.7143,23.68760792,7820.799648
8.95,1577.080768,422.1429,23.82162937,7980.735597
9,1582.046327,419.2857,23.76426119,7917.920273
9.05,1589.001524,422.619,23.83400044,8004.486524
9.1,1594.967998,422.9048,23.84115267,8017.509416
9.15,1601.932947,426.2857,23.9109531,8105.484455
9.2,1607.906431,423.4762,23.85566656,8044.60443
9.25,1614.880219,426.8571,23.9253449,8132.638446
9.3,1619.864675,420.9048,23.80597956,7995.770774
9.35,1626.846998,424.2857,23.87633642,8083.642787
9.4,1632.835416,421.4762,23.82058397,8022.873525
9.45,1638.827492,418.619,23.76321853,7961.128272
9.5,1644.823529,415.7619,23.70519674,7899.550525
9.55,1650.82292,416.0476,23.71249634,7912.559328
9.6,1656.826272,413.2381,23.65486956,7852.257492
